Cat ID,Categoria,Producto,Costo Un.,Gr,Costo Pr.xUn.,Margen (%),Precio Lista,Equivalente x Kg,venta,Unidades por Kg,% diferencia,$ diferencia
1,Aceites y Vinagres,aceite coco entrenuts 360,"$5.578,0",,"$5.578,0",30,"$7.251,4","$7.251,4",$7.990,0,"10,2",$739
1,Aceites y Vinagres,aceite oliva oleovares,"$5.320,0",,"$5.320,0",50,"$7.980,0","$0,0",$8.800,,"10,3",$820
1,Aceites y Vinagres,aceto basamico oleovares,"$3.915,0",,"$3.915,0",50,"$5.872,5","$0,0",$6.500,,"10,7",$628
2,Condimentos y Especias,aji,"$6.077,0",50,"$303,9",80,"$546,9","$10.938,6",$790,20,"44,4",$243
2,Condimentos y Especias,ajo en polvo,"$6.897,0",50,"$344,9",50,"$517,3","$10.345,5",$700,20,"35,3",$183
7,Galletas / Alfajores / Dulces,alfajor abuela mecha,,,,70,"$0,0","$0,0",$950,,-,$950
7,Galletas / Alfajores / Dulces,alfajor celi energy algarroba,"$1.278,0",,"$1.278,0",60,"$2.044,8","$0,0",$2.200,,"7,6",$155
7,Galletas / Alfajores / Dulces,alfajor celi energy nuez,"$1.278,0",,"$1.278,0",60,"$2.044,8","$0,0",$2.200,,"7,6",$155
7,Galletas / Alfajores / Dulces,alfajor ceral blanco,,,,50,"$0,0","$0,0",$1.500,,-,$1.500
7,Galletas / Alfajores / Dulces,alfajor ceral negro,,,,50,"$0,0","$0,0",$1.500,,-,$1.500
7,Galletas / Alfajores / Dulces,alfajor cerro azul dulce de leche,,,,50,"$0,0","$0,0",$2.300,,-,$2.300
7,Galletas / Alfajores / Dulces,alfajor cerro azul moka,"$1.424,0",,"$1.424,0",50,"$2.136,0","$0,0",$2.300,,"7,7",$164
7,Galletas / Alfajores / Dulces,alfajor lulemuu ddl,"$500,0",,"$500,0",70,"$850,0","$0,0",$990,,"16,5",$140
7,Galletas / Alfajores / Dulces,alfajor lulemuu limon,"$500,0",,"$500,0",70,"$850,0","$0,0",$990,,"16,5",$140
7,Galletas / Alfajores / Dulces,algas laminadas,"$7.009,0",,"$7.009,0",50,"$10.513,5","$10.513,5",,,"-100,0",-$10.514
11,Productos funcionales / varios,algas nory argendiet,"$2.540,0",,"$2.540,0",50,"$3.810,0","$3.810,0",,,"-100,0",-$3.810
3,Frutos Secos,almendras 25/27,"$20.000,0",100,"$2.000,0",60,"$3.200,0","$32.000,0",$3.700,10,"15,6",$500
6,Snacks saludables,almohadita avellana,"$6.040,0",200,"$1.208,0",60,"$1.932,8","$9.664,0",$2.200,5,"13,8",$267
6,Snacks saludables,almohadita chocolate,"$6.480,0",200,"$1.296,0",60,"$2.073,6","$10.368,0",$2.200,5,"6,1",$126
